MaritalStatus,MaritalStatusLabel,ApplicationMode,ApplicationModeLabel,ApplicatioOrder,Course,CourseLabel,DaytimeEveningAttendance,AttendanceTiming,PreviousQualification,Nationality,NationalityLabel,MotherQualification,MotherQualLabel,FatherQualification,FatherQualLabel,MotherOccupation,MotherOccLabel,FatherOccupation,FatherOccLabel,Displaced,EducationalSpecialNeeds,SpecialNeedsLabel,Debtor,DebtorLabel,TuitionFeesUpToDate,Gender,GenderLabel,ScholarshipHolder,ScholarshipHolderLabel,AgeAtEnrollment,AgeBand,International,CurricularUnits1stSem_credited,CurricularUnits1stSem_enrolled,CurricularUnits1stSem_evaluations,CurricularUnits1stSe_approved,CurricularUnits1stSem_grade,CurricularUnits1stSem_withoutevaluations,CurricularUnits2ndtSem_credited,CurricularUnits2ndtSem_enrolled,CurricularUnits2ndtSem_evaluations,CurricularUnits2ndtSem_approved,CurricularUnits2ndtSem_grade,CurricularUnits2ndtSem_withoutevaluations,TotalGrades,TotalUnitsApproved,AverageGrade1stAnd2ndSem,GradeBand,TotalCreditsEarned,TotalUnitsEnrolled,TotalUnitsApproved2,PassRates,UnemploymentRate,InflationRate,GDP,RiskLevel,Target,is_Dropout
1,Single,1,Regular,1,14,English,1,Daytime,1,1,India,23,Specialized Training,14,Professional,6,Business,8,Lawyer,1,0,No,0,No,1,0,Female,0,No,18,<20,0,0,6,6,6,12.33333333,0,0,6,7,5,14.2,0,26.53333333,11,13.26666667,13+,0,12,11,0.916666667,13.9,-0.3,0.79,Medium Risk,Graduate,0
1,Single,1,Regular,1,12,Economics,1,Daytime,1,1,India,13,IT Certification,28,Bachelor of Science,10,Nurse,10,Technician,1,0,No,0,No,1,0,Female,1,Yes,18,<20,0,0,8,8,7,13.21428571,0,0,8,8,7,13.21428571,0,26.42857143,14,13.21428571,13+,0,16,14,0.875,12.7,3.7,-1.7,Medium Risk,Graduate,0
1,Single,1,Regular,2,16,Sociology,1,Daytime,1,1,India,13,IT Certification,27,Bachelor of Arts,5,Private Employee,10,Technician,1,0,No,0,No,1,0,Female,0,No,19,<20,0,0,6,6,0,0,0,0,6,0,0,0,0,0,0,0,<5,0,12,0,0,12.7,3.7,-1.7,Medium Risk,Dropout,1
1,Single,17,Distance Learning,1,11,Chemistry,1,Daytime,16,1,India,1,No Schooling,1,No Schooling,5,Private Employee,8,Lawyer,1,0,No,0,No,1,0,Female,1,Yes,21,20-25,0,0,6,7,6,10.57142857,0,0,6,8,5,11,0,21.57142857,11,10.78571429,9-12.9,0,12,11,0.916666667,8.9,1.4,3.51,Low Risk,Graduate,0
1,Single,1,Regular,1,6,Electronics Engg,1,Daytime,1,1,India,23,Specialized Training,27,Bachelor of Arts,6,Business,6,Engineer,1,0,No,0,No,1,0,Female,1,Yes,18,<20,0,0,5,7,4,13.25,0,0,5,5,5,12,0,25.25,9,12.625,9-12.9,0,10,9,0.9,10.8,1.4,1.74,Medium Risk,Graduate,0
1,Single,1,Regular,1,15,Psychology,1,Daytime,1,1,India,13,IT Certification,27,Bachelor of Arts,10,Nurse,4,Government Employee,1,0,No,0,No,1,0,Female,0,No,20,20-25,0,0,6,6,5,13.2,0,0,6,7,0,0,0,13.2,5,6.6,5-8.9,0,12,5,0.416666667,15.5,2.8,-4.06,Medium Risk,Dropout,1
1,Single,9,Online,1,10,Physics,1,Daytime,1,1,India,13,IT Certification,28,Bachelor of Science,6,Business,9,Accountant,1,0,No,0,No,1,0,Female,0,No,18,<20,0,0,6,10,1,12,0,0,6,14,2,11,0,23,3,11.5,9-12.9,0,12,3,0.25,10.8,1.4,1.74,Medium Risk,Enrolled,0
1,Single,8,Quota,2,12,Economics,1,Daytime,1,1,India,13,IT Certification,1,No Schooling,6,Business,5,Private Employee,1,0,No,0,No,1,0,Female,0,No,18,<20,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,27.85125,15,13.925625,13+,0,15,15,1,15.5,2.8,-4.06,Medium Risk,Graduate,0
1,Single,1,Regular,1,8,BioTech,1,Daytime,1,1,India,3,Middle,14,Professional,4,Government Employee,6,Engineer,1,0,No,0,No,1,0,Female,0,No,20,20-25,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,24.75,8,12.375,9-12.9,0,10,8,0.8,10.8,1.4,1.74,Medium Risk,Graduate,0
1,Single,1,Regular,1,16,Sociology,1,Daytime,1,1,India,13,IT Certification,14,Professional,8,Professional,8,Lawyer,1,0,No,0,No,1,0,Female,0,No,18,<20,0,0,7,7,6,11.66666667,0,0,7,8,6,13.5,0,25.16666667,12,12.58333333,9-12.9,0,14,12,0.857142857,16.2,0.3,-0.92,Medium Risk,Enrolled,0
1,Single,1,Regular,3,2,IT,1,Daytime,1,1,India,1,No Schooling,1,No Schooling,10,Nurse,9,Accountant,0,0,No,0,No,1,0,Female,1,Yes,21,20-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,11.1,0.6,2.02,Medium Risk,Graduate,0
1,Single,9,Online,4,13,Management,1,Daytime,1,1,India,1,No Schooling,28,Bachelor of Science,5,Private Employee,8,Lawyer,1,0,No,0,No,1,0,Female,0,No,20,20-25,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,22.8625,15,11.43125,9-12.9,0,15,15,1,12.7,3.7,-1.7,Medium Risk,Enrolled,0
1,Single,1,Regular,4,12,Economics,1,Daytime,1,1,India,13,IT Certification,14,Professional,2,Worker,2,Businessman,1,0,No,0,No,1,0,Female,0,No,18,<20,0,0,8,12,7,12.85714286,0,0,8,12,7,12.85714286,0,25.71428571,14,12.85714286,9-12.9,0,16,14,0.875,12.7,3.7,-1.7,Medium Risk,Graduate,0
1,Single,1,Regular,4,14,English,1,Daytime,1,1,India,1,No Schooling,28,Bachelor of Science,5,Private Employee,8,Lawyer,1,0,No,0,No,1,0,Female,1,Yes,19,<20,0,0,6,8,6,13.375,0,0,6,7,6,12.28571429,0,25.66071429,12,12.83035714,9-12.9,0,12,12,1,11.1,0.6,2.02,Medium Risk,Graduate,0
1,Single,1,Regular,1,12,Economics,1,Daytime,1,1,India,13,IT Certification,14,Professional,4,Government Employee,8,Lawyer,0,0,No,0,No,1,0,Female,0,No,19,<20,0,0,7,8,6,13.29666667,0,0,8,9,7,14.11428571,0,27.41095238,13,13.70547619,13+,0,15,13,0.866666667,11.1,0.6,2.02,Medium Risk,Graduate,0
1,Single,1,Regular,1,10,Physics,1,Daytime,1,1,India,13,IT Certification,28,Bachelor of Science,10,Nurse,10,Technician,1,0,No,1,Yes,1,0,Female,1,Yes,18,<20,0,0,6,8,5,11.6,0,0,6,12,4,11,0,22.6,9,11.3,9-12.9,0,12,9,0.75,7.6,2.6,0.32,Medium Risk,Enrolled,0
1,Single,8,Quota,2,10,Physics,1,Daytime,1,1,India,13,IT Certification,28,Bachelor of Science,8,Professional,9,Accountant,1,0,No,0,No,1,0,Female,0,No,21,20-25,0,0,6,9,6,11.375,0,0,6,9,6,13.28571429,0,24.66071429,12,12.33035714,9-12.9,0,12,12,1,16.2,0.3,-0.92,Medium Risk,Graduate,0
1,Single,1,Regular,1,6,Electronics Engg,1,Daytime,1,1,India,13,IT Certification,14,Professional,4,Government Employee,4,Government Employee,1,0,No,0,No,1,0,Female,0,No,18,<20,0,0,5,9,5,12.66666667,2,0,5,7,4,13,0,25.66666667,9,12.83333333,9-12.9,0,10,9,0.9,9.4,-0.8,-3.12,High Risk,Enrolled,0
1,Single,1,Regular,1,9,Mathematics,1,Daytime,1,1,India,13,IT Certification,1,No Schooling,10,Nurse,10,Technician,1,0,No,0,No,1,0,Female,0,No,20,20-25,0,0,5,6,5,12,0,0,5,6,5,12.33333333,0,24.33333333,10,12.16666667,9-12.9,0,10,10,1,16.2,0.3,-0.92,Medium Risk,Graduate,0
1,Single,8,Quota,2,12,Economics,1,Daytime,1,1,India,3,Middle,3,Middle,2,Worker,11,Professional,1,0,No,0,No,1,1,Male,0,No,19,<20,0,0,7,9,6,12.93333333,0,0,7,7,6,13.71666667,0,26.65,12,13.325,13+,0,14,12,0.857142857,16.2,0.3,-0.92,Medium Risk,Enrolled,0
1,Single,15,Reserved Category,1,4,Civil Engg,1,Daytime,14,1,India,4,Secondary,5,High School,5,Private Employee,3,Teacher,0,0,No,0,No,1,1,Male,0,No,21,20-25,0,0,6,15,5,11.85714286,0,0,6,17,5,10.57142857,0,22.42857143,10,11.21428571,9-12.9,0,12,10,0.833333333,16.2,0.3,-0.92,Medium Risk,Enrolled,0
1,Single,16,Sponsored,1,5,Electrical Engg,1,Daytime,1,1,India,27,Bachelor of Arts,3,Middle,16,Entrepreneur,22,Social Worker,1,0,No,0,No,1,1,Male,0,No,20,20-25,0,2,6,7,6,12.83333333,0,0,6,9,4,13.4,0,26.23333333,10,13.11666667,13+,2,12,10,0.833333333,8.9,1.4,3.51,Low Risk,Graduate,0
1,Single,1,Regular,1,9,Mathematics,1,Daytime,1,1,India,1,No Schooling,1,No Schooling,5,Private Employee,7,Doctor,0,0,No,0,No,0,1,Male,0,No,18,<20,0,0,5,9,3,11.33333333,0,0,5,8,2,13.5,0,24.83333333,5,12.41666667,9-12.9,0,10,5,0.5,8.9,1.4,3.51,Low Risk,Enrolled,0
1,Single,9,Online,1,3,Mechanical Engg,0,Evening,1,1,India,13,IT Certification,1,No Schooling,10,Nurse,6,Engineer,1,0,No,0,No,1,0,Female,0,No,19,<20,0,0,6,6,6,12.66666667,0,0,6,8,6,14.375,0,27.04166667,12,13.52083333,13+,0,12,12,1,12.4,0.5,1.79,Medium Risk,Graduate,0
1,Single,1,Regular,1,17,Other,0,Evening,1,1,India,2,Primary,27,Bachelor of Arts,4,Government Employee,10,Technician,0,0,No,0,No,1,1,Male,0,No,34,>30,0,0,5,6,5,12.4,0,0,5,9,5,13.42857143,0,25.82857143,10,12.91428571,9-12.9,0,10,10,1,13.9,-0.3,0.79,Medium Risk,Graduate,0
1,Single,12,Evening Program,1,1,Computer Science,1,Daytime,1,1,India,23,Specialized Training,27,Bachelor of Arts,10,Nurse,7,Doctor,0,0,No,1,Yes,0,1,Male,0,No,37,>30,0,0,7,7,0,0,0,0,7,7,1,10,0,10,1,5,5-8.9,0,14,1,0.071428571,8.9,1.4,3.51,Low Risk,Dropout,1
1,Single,12,Evening Program,1,7,Chemical Engg,1,Daytime,8,1,India,19,Postgraduate,27,Bachelor of Arts,1,Housewife,1,Worker,1,0,No,0,No,1,1,Male,0,No,43,>30,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,<5,0,10,0,0,7.6,2.6,0.32,Medium Risk,Dropout,1
1,Single,14,Scholarship,1,9,Mathematics,1,Daytime,1,1,India,22,Trade,27,Bachelor of Arts,7,Self-Employed,7,Doctor,0,0,No,0,No,1,0,Female,0,No,55,>30,0,0,5,10,1,10,0,0,5,8,2,12,2,22,3,11,9-12.9,0,10,3,0.3,16.2,0.3,-0.92,Medium Risk,Dropout,1
4,Widowed,12,Evening Program,1,17,Other,0,Evening,1,1,India,13,IT Certification,14,Professional,10,Nurse,4,Government Employee,1,0,No,0,No,1,0,Female,0,No,39,>30,0,0,5,8,5,11,0,0,5,5,5,11.6,0,22.6,10,11.3,9-12.9,0,10,10,1,7.6,2.6,0.32,Medium Risk,Graduate,0
1,Single,15,Reserved Category,1,8,BioTech,1,Daytime,14,3,France,4,Secondary,4,Secondary,4,Government Employee,7,Doctor,0,0,No,1,Yes,0,0,Female,0,No,20,20-25,1,2,6,13,3,11.66666667,0,1,6,11,3,12,0,23.66666667,6,11.83333333,9-12.9,3,12,6,0.5,12.4,0.5,1.79,Medium Risk,Dropout,1
1,Single,1,Regular,5,15,Psychology,1,Daytime,1,1,India,3,Middle,3,Middle,3,Teacher,3,Teacher,0,0,No,1,Yes,1,0,Female,0,No,18,<20,0,0,6,6,4,12.75,0,0,5,5,0,0,0,12.75,4,6.375,5-8.9,0,11,4,0.363636364,12.7,3.7,-1.7,Medium Risk,Dropout,1
1,Single,1,Regular,2,9,Mathematics,1,Daytime,1,1,India,3,Middle,14,Professional,3,Teacher,8,Lawyer,1,0,No,0,No,1,0,Female,0,No,22,20-25,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,30.6,10,15.3,13+,0,10,10,1,8.9,1.4,3.51,Low Risk,Graduate,0
1,Single,1,Regular,6,12,Economics,1,Daytime,1,1,India,1,No Schooling,3,Middle,3,Teacher,3,Teacher,1,1,Yes,0,No,1,0,Female,0,No,22,20-25,0,0,7,9,5,13.928,0,0,8,9,7,14.34285714,0,28.27085714,12,14.13542857,13+,0,15,12,0.8,11.1,0.6,2.02,Medium Risk,Graduate,0
1,Single,8,Quota,1,15,Psychology,1,Daytime,1,1,India,1,No Schooling,28,Bachelor of Science,6,Business,6,Engineer,0,0,No,0,No,0,0,Female,0,No,20,20-25,0,0,6,7,4,13,0,0,6,7,5,13.8,0,26.8,9,13.4,13+,0,12,9,0.75,12.4,0.5,1.79,Medium Risk,Dropout,1
1,Single,12,Evening Program,1,17,Other,0,Evening,1,1,India,22,Trade,27,Bachelor of Arts,10,Nurse,10,Technician,0,0,No,0,No,1,0,Female,0,No,29,26-30,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,<5,0,10,0,0,16.2,0.3,-0.92,Medium Risk,Dropout,1
1,Single,8,Quota,1,17,Other,0,Evening,1,1,India,23,Specialized Training,28,Bachelor of Science,5,Private Employee,6,Engineer,0,0,No,0,No,1,0,Female,0,No,24,20-25,0,0,5,9,2,11.5,0,0,5,11,3,14.33333333,1,25.83333333,5,12.91666667,9-12.9,0,10,5,0.5,7.6,2.6,0.32,Medium Risk,Enrolled,0
1,Single,8,Quota,2,10,Physics,1,Daytime,1,1,India,13,IT Certification,14,Professional,10,Nurse,10,Technician,1,0,No,0,No,1,0,Female,0,No,18,<20,0,0,6,6,6,11.66666667,0,0,6,8,5,13.2,0,24.86666667,11,12.43333333,9-12.9,0,12,11,0.916666667,11.1,0.6,2.02,Medium Risk,Graduate,0
1,Single,8,Quota,6,12,Economics,1,Daytime,1,1,India,22,Trade,14,Professional,8,Professional,8,Lawyer,1,0,No,0,No,1,0,Female,1,Yes,22,20-25,0,0,7,8,6,13.51666667,0,0,8,9,7,13.77142857,0,27.28809524,13,13.64404762,13+,0,15,13,0.866666667,11.1,0.6,2.02,Medium Risk,Graduate,0
1,Single,15,Reserved Category,1,3,Mechanical Engg,0,Evening,14,1,India,1,No Schooling,14,Professional,10,Nurse,10,Technician,0,0,No,0,No,1,0,Female,1,Yes,21,20-25,0,3,6,6,6,11.5,0,2,6,7,6,13.28571429,0,24.78571429,12,12.39285714,9-12.9,5,12,12,1,12.4,0.5,1.79,Medium Risk,Graduate,0
1,Single,1,Regular,1,10,Physics,1,Daytime,1,1,India,22,Trade,28,Bachelor of Science,10,Nurse,10,Technician,0,0,No,0,No,1,0,Female,1,Yes,19,<20,0,0,6,7,5,12.33333333,0,0,6,7,6,12.83333333,0,25.16666667,11,12.58333333,9-12.9,0,12,11,0.916666667,12.7,3.7,-1.7,Medium Risk,Graduate,0
1,Single,12,Evening Program,1,11,Chemistry,1,Daytime,1,1,India,13,IT Certification,28,Bachelor of Science,10,Nurse,8,Lawyer,0,0,No,0,No,1,0,Female,1,Yes,24,20-25,0,0,6,6,6,13.66666667,0,0,6,6,6,14.16666667,0,27.83333333,12,13.91666667,13+,0,12,12,1,12.4,0.5,1.79,Medium Risk,Graduate,0
1,Single,1,Regular,1,12,Economics,1,Daytime,1,1,India,22,Trade,28,Bachelor of Science,7,Self-Employed,7,Doctor,1,0,No,0,No,1,0,Female,1,Yes,19,<20,0,0,8,10,6,11.83333333,0,0,8,10,6,11.83333333,0,23.66666667,12,11.83333333,9-12.9,0,16,12,0.75,9.4,-0.8,-3.12,High Risk,Enrolled,0
1,Single,1,Regular,1,15,Psychology,1,Daytime,1,1,India,1,No Schooling,14,Professional,8,Professional,8,Lawyer,1,0,No,0,No,1,0,Female,1,Yes,20,20-25,0,0,6,11,4,14,0,0,6,12,3,11,0,25,7,12.5,9-12.9,0,12,7,0.583333333,9.4,-0.8,-3.12,High Risk,Enrolled,0
1,Single,1,Regular,3,8,BioTech,1,Daytime,1,1,India,22,Trade,27,Bachelor of Arts,12,Technician,12,Self-Employed,0,0,No,0,No,1,0,Female,0,No,19,<20,0,0,5,7,5,14.71428571,0,0,5,5,5,15.8,0,30.51428571,10,15.25714286,13+,0,10,10,1,7.6,2.6,0.32,Medium Risk,Graduate,0
1,Single,12,Evening Program,1,17,Other,0,Evening,1,1,India,23,Specialized Training,28,Bachelor of Science,10,Nurse,10,Technician,0,0,No,0,No,1,0,Female,0,No,27,26-30,0,0,5,12,5,10.6,0,0,5,10,5,11,0,21.6,10,10.8,9-12.9,0,10,10,1,9.4,-0.8,-3.12,High Risk,Dropout,1
1,Single,1,Regular,1,12,Economics,1,Daytime,1,1,India,1,No Schooling,14,Professional,6,Business,6,Engineer,1,0,No,0,No,1,0,Female,0,No,18,<20,0,0,7,9,7,13.04444444,0,0,8,10,8,13.595,0,26.63944444,15,13.31972222,13+,0,15,15,1,15.5,2.8,-4.06,Medium Risk,Graduate,0
2,Married,4,Transfer,1,11,Chemistry,1,Daytime,3,1,India,1,No Schooling,3,Middle,5,Private Employee,4,Government Employee,0,0,No,0,No,1,0,Female,0,No,39,>30,0,0,6,10,0,0,0,0,6,6,0,0,0,0,0,0,<5,0,12,0,0,12.4,0.5,1.79,Medium Risk,Dropout,1
1,Single,12,Evening Program,1,8,BioTech,1,Daytime,15,1,India,3,Middle,3,Middle,3,Teacher,3,Teacher,1,0,No,0,No,1,0,Female,0,No,27,26-30,0,0,6,9,5,13,0,5,11,13,10,12.9,0,25.9,15,12.95,9-12.9,5,17,15,0.882352941,12.4,0.5,1.79,Medium Risk,Dropout,1
1,Single,8,Quota,1,12,Economics,1,Daytime,1,1,India,23,Specialized Training,28,Bachelor of Science,8,Professional,11,Professional,1,0,No,0,No,1,0,Female,0,No,18,<20,0,0,8,8,8,14.935,0,0,8,8,8,14.935,0,29.87,16,14.935,13+,0,16,16,1,9.4,-0.8,-3.12,High Risk,Graduate,0
1,Single,1,Regular,3,2,IT,1,Daytime,1,1,India,23,Specialized Training,27,Bachelor of Arts,5,Private Employee,10,Technician,1,0,No,0,No,1,0,Female,0,No,18,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,7.6,2.6,0.32,Medium Risk,Enrolled,0
1,Single,1,Regular,2,12,Economics,1,Daytime,1,1,India,13,IT Certification,14,Professional,10,Nurse,10,Technician,0,0,No,0,No,1,0,Female,0,No,18,<20,0,0,7,8,6,13.13333333,0,0,8,12,7,12.22142857,0,25.3547619,13,12.67738095,9-12.9,0,15,13,0.866666667,16.2,0.3,-0.92,Medium Risk,Graduate,0
1,Single,15,Reserved Category,1,10,Physics,1,Daytime,14,1,India,13,IT Certification,1,No Schooling,10,Nurse,10,Technician,0,0,No,0,No,1,0,Female,1,Yes,21,20-25,0,3,6,7,6,12,0,2,6,7,6,12,0,24,12,12,9-12.9,5,12,12,1,13.9,-0.3,0.79,Medium Risk,Graduate,0
1,Single,8,Quota,3,2,IT,1,Daytime,1,1,India,1,No Schooling,27,Bachelor of Arts,5,Private Employee,8,Lawyer,1,0,No,0,No,1,1,Male,1,Yes,19,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,10.8,1.4,1.74,Medium Risk,Enrolled,0
1,Single,8,Quota,1,5,Electrical Engg,1,Daytime,1,1,India,1,No Schooling,1,No Schooling,4,Government Employee,5,Private Employee,1,0,No,0,No,1,1,Male,0,No,19,<20,0,0,6,6,5,11.4,0,0,6,8,1,10,0,21.4,6,10.7,9-12.9,0,12,6,0.5,10.8,1.4,1.74,Medium Risk,Enrolled,0
1,Single,14,Scholarship,1,5,Electrical Engg,1,Daytime,1,1,India,1,No Schooling,1,No Schooling,4,Government Employee,4,Government Employee,0,0,No,0,No,1,1,Male,0,No,24,20-25,0,0,6,6,0,0,0,0,6,6,0,0,0,0,0,0,<5,0,12,0,0,12.7,3.7,-1.7,Medium Risk,Enrolled,0
4,Widowed,13,Day Program,1,12,Economics,1,Daytime,12,1,India,1,No Schooling,1,No Schooling,6,Business,6,Engineer,1,0,No,0,No,1,1,Male,0,No,29,26-30,0,2,7,10,5,11.9,0,1,8,10,5,11,0,22.9,10,11.45,9-12.9,3,15,10,0.666666667,13.9,-0.3,0.79,Medium Risk,Dropout,1
1,Single,1,Regular,3,2,IT,1,Daytime,1,1,India,13,IT Certification,14,Professional,6,Business,4,Government Employee,1,0,No,0,No,1,1,Male,1,Yes,19,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,10.8,1.4,1.74,Medium Risk,Graduate,0
1,Single,15,Reserved Category,1,4,Civil Engg,1,Daytime,14,1,India,13,IT Certification,27,Bachelor of Arts,10,Nurse,10,Technician,1,0,No,0,No,1,1,Male,0,No,23,20-25,0,0,6,8,6,12.57142857,0,0,6,7,6,12.42857143,0,25,12,12.5,9-12.9,0,12,12,1,8.9,1.4,3.51,Low Risk,Graduate,0
1,Single,1,Regular,3,9,Mathematics,1,Daytime,1,1,India,1,No Schooling,28,Bachelor of Science,8,Professional,8,Lawyer,0,0,No,1,Yes,1,1,Male,0,No,19,<20,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,21.95,9,10.975,9-12.9,0,10,9,0.9,16.2,0.3,-0.92,Medium Risk,Dropout,1
1,Single,12,Evening Program,1,11,Chemistry,1,Daytime,1,1,India,13,IT Certification,27,Bachelor of Arts,8,Professional,11,Professional,0,0,No,0,No,1,1,Male,0,No,26,26-30,0,0,6,7,6,12,0,0,6,8,5,10.8,0,22.8,11,11.4,9-12.9,0,12,11,0.916666667,12.7,3.7,-1.7,Medium Risk,Enrolled,0
1,Single,8,Quota,1,9,Mathematics,1,Daytime,1,1,India,23,Specialized Training,27,Bachelor of Arts,6,Business,6,Engineer,0,0,No,0,No,1,1,Male,0,No,18,<20,0,0,5,9,0,0,0,0,5,5,0,0,0,0,0,0,<5,0,10,0,0,7.6,2.6,0.32,Medium Risk,Enrolled,0
1,Single,8,Quota,1,12,Economics,1,Daytime,1,1,India,22,Trade,14,Professional,9,Doctor,5,Private Employee,0,0,No,0,No,1,1,Male,0,No,24,20-25,0,0,7,8,7,11.975,0,0,8,8,8,13.75,0,25.725,15,12.8625,9-12.9,0,15,15,1,13.9,-0.3,0.79,Medium Risk,Graduate,0
1,Single,1,Regular,1,2,IT,1,Daytime,1,1,India,13,IT Certification,14,Professional,6,Business,11,Professional,1,0,No,0,No,1,1,Male,0,No,19,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,15.5,2.8,-4.06,Medium Risk,Dropout,1
1,Single,8,Quota,4,11,Chemistry,1,Daytime,1,1,India,23,Specialized Training,27,Bachelor of Arts,6,Business,8,Lawyer,1,0,No,0,No,1,1,Male,0,No,18,<20,0,0,6,12,3,11.66666667,0,0,6,12,1,12,0,23.66666667,4,11.83333333,9-12.9,0,12,4,0.333333333,12.4,0.5,1.79,Medium Risk,Dropout,1
